location;chrom;start;end;CIRCexplorer2_name;CircBank_Name;S04_P;S05_P;S14_P;S19_P;S16_N;S02_N;S23_N;S07_N
chr8:141840570-141889736;chr8;141840570;141889736;HSA_CIRCpedia_60267;hsa_circPTK2_034;1;2;NA;NA;NA;NA;NA;NA
chr14:45577617-45580020;chr14;45577617;45580020;HSA_CIRCpedia_144452;hsa_circPRPF39_006;1;NA;NA;NA;NA;NA;NA;NA
chr2:71623270-71627310;chr2;71623270;71627310;HSA_CIRCpedia_42244;hsa_circZNF638_025;2;3;NA;NA;NA;NA;NA;NA
chr6:101296023-101312090;chr6;101296023;101312090;HSA_CIRCpedia_53150;NA;1;NA;NA;NA;NA;NA;NA;NA
chr3:157839891-157854635;chr3;157839891;157854635;hsa-circ-RSRC1-overlap.7;NA;1;NA;NA;NA;NA;NA;NA;NA
chr9:132837914-132848755;chr9;132837914;132848755;HSA_CIRCpedia_63125;NA;1;NA;NA;NA;NA;NA;NA;NA
chr22:32007128-32007826;chr22;32007128;32007826;HSA_CIRCpedia_36433;hsa_circSFI1_022;1;3;NA;NA;NA;NA;NA;2
chr11:47496887-47510576;chr11;47496887;47510576;HSA_CIRCpedia_342830;NA;1;NA;NA;NA;NA;NA;NA;NA
chr22:41265002-41320486;chr22;41265002;41320486;HSA_CIRCpedia_36776;NA;1;NA;NA;NA;NA;NA;NA;NA
chr1:31532145-31532424;chr1;31532145;31532424;HSA_CIRCpedia_31338;NA;1;NA;NA;NA;NA;NA;NA;NA
chr9:111843118-111855871;chr9;111843118;111855871;HSA_CIRCpedia_62188;hsa_circC9orf5_020;1;NA;NA;NA;NA;NA;NA;NA
chr12:100489444-100492319;chr12;100489444;100492319;HSA_CIRCpedia_72086;hsa_circUHRF1BP1L_019;1;2;NA;NA;NA;NA;NA;NA
chr1:97235258-97243502;chr1;97235258;97243502;HSA_CIRCpedia_69150;hsa_circPTBP2_007;1;NA;NA;NA;NA;NA;NA;NA
chr7:144288515-144320354;chr7;144288515;144320354;HSA_CIRCpedia_57138;hsa_circTPK1_005;1;2;NA;NA;NA;NA;NA;NA
chr16:14700340-14704666;chr16;14700340;14704666;HSA_CIRCpedia_80921;NA;1;NA;NA;NA;NA;NA;NA;NA
chr18:20570899-20577697;chr18;20570899;20577697;HSA_CIRCpedia_132107;NA;1;NA;NA;NA;NA;NA;NA;NA
chr14:70633355-70635201;chr14;70633355;70635201;HSA_CIRCpedia_12836;hsa_circSLC8A3_002;1;NA;NA;NA;NA;NA;NA;NA
chr19:5645347-5654467;chr19;5645347;5654467;HSA_CIRCpedia_86003;hsa_circSAFB_005;1;NA;NA;NA;NA;NA;NA;NA
chr4:42022432-42041070;chr4;42022432;42041070;HSA_CIRCpedia_113804;NA;1;NA;NA;NA;NA;NA;NA;NA
chr13:95829960-95840796;chr13;95829960;95840796;HSA_CIRCpedia_11231;hsa_circABCC4_025;1;NA;NA;NA;NA;NA;NA;1
chr10:74773981-74806859;chr10;74773981;74806859;HSA_CIRCpedia_2317;NA;1;NA;NA;NA;NA;NA;NA;NA
chr2:20518297-20532824;chr2;20518297;20532824;hsa_circ_0004642;hsa_circPUM2_004;7;2;NA;NA;NA;NA;NA;NA
chr3:43607144-43621964;chr3;43607144;43621964;HSA_CIRCpedia_45683;hsa_circANO10_009;1;NA;NA;NA;NA;NA;NA;NA
chr8:95853718-95866143;chr8;95853718;95866143;HSA_CIRCpedia_125982;hsa_circINTS8_035;2;NA;NA;NA;NA;NA;NA;NA
chr10:103783431-103799882;chr10;103783431;103799882;HSA_CIRCpedia_186;NA;3;NA;NA;NA;NA;NA;NA;NA
chr7:152558911-152563402;chr7;152558911;152563402;hsa-circ-intronic.34839;NA;1;NA;NA;NA;NA;NA;NA;NA
chr9:27455130-27455746;chr9;27455130;27455746;HSA_CIRCpedia_63807;hsa_circMOB3B_002;2;NA;NA;NA;NA;NA;NA;NA
chr7:32582752-32591907;chr7;32582752;32591907;HSA_CIRCpedia_57857;hsa_circAVL9_006;1;NA;NA;NA;NA;NA;NA;NA
chr3:66455621-66467690;chr3;66455621;66467690;HSA_CIRCpedia_46697;hsa_circLRIG1_017;1;NA;NA;NA;NA;NA;NA;NA
chrX:20181081-20204484;chrX;20181081;20204484;HSA_CIRCpedia_65600;hsa_circRPS6KA3_020;1;NA;NA;NA;NA;NA;NA;NA
chr9:99589361-99607298;chr9;99589361;99607298;HSA_CIRCpedia_64860;NA;1;NA;NA;NA;NA;NA;NA;NA
chr1:115262199-115273269;chr1;115262199;115273269;HSA_CIRCpedia_170382;NA;2;NA;NA;NA;NA;NA;NA;NA
chr15:82519790-82533744;chr15;82519790;82533744;HSA_CIRCpedia_15890;NA;2;NA;NA;NA;NA;NA;NA;NA
chr6:159058159-159058926;chr6;159058159;159058926;HSA_CIRCpedia_54197;hsa_circDYNLT1_004;1;NA;NA;NA;NA;NA;NA;NA
chr19:18245388-18246651;chr19;18245388;18246651;HSA_CIRCpedia_86829;hsa_circMAST3_017;1;NA;NA;NA;NA;NA;NA;NA
chr11:94308164-94340805;chr11;94308164;94340805;HSA_CIRCpedia_167092;NA;1;NA;NA;NA;NA;NA;NA;NA
chr15:72139755-72180457;chr15;72139755;72180457;hsa-circ-MYO9A-overlap.2;hsa_circMYO9A_087;1;NA;NA;NA;NA;NA;NA;NA
chr3:53531178-53535747;chr3;53531178;53535747;HSA_CIRCpedia_115050;hsa_circCACNA1D_001;3;NA;NA;NA;NA;NA;NA;NA
chr9:130865959-130868536;chr9;130865959;130868536;HSA_CIRCpedia_112156;NA;1;NA;NA;NA;NA;NA;NA;NA
chr15:49574183-49575915;chr15;49574183;49575915;HSA_CIRCpedia_14617;NA;1;NA;NA;NA;NA;NA;NA;NA
chr1:78390872-78395189;chr1;78390872;78395189;HSA_CIRCpedia_358213;NA;1;NA;NA;NA;NA;NA;NA;NA
chr6:147583425-147635467;chr6;147583425;147635467;HSA_CIRCpedia_164313;NA;2;NA;NA;NA;NA;NA;NA;NA
chr22:32108068-32134897;chr22;32108068;32134897;HSA_CIRCpedia_36450;hsa_circPRR14L_002;1;NA;NA;NA;NA;NA;NA;NA
chr16:50256216-50259196;chr16;50256216;50259196;HSA_CIRCpedia_17810;hsa_circPAPD5_007;1;NA;NA;NA;NA;NA;NA;NA
chr2:10740978-10762276;chr2;10740978;10762276;hsa-circ-NOL10-overlap.32;NA;3;1;NA;NA;NA;NA;NA;NA
chr7:77394811-77407763;chr7;77394811;77407763;HSA_CIRCpedia_59042;hsa_circRSBN1L_013;1;NA;NA;NA;NA;NA;NA;NA
chr3:170875248-170912424;chr3;170875248;170912424;HSA_CIRCpedia_44388;hsa_circTNIK_014;1;NA;NA;NA;NA;NA;NA;2
chr1:98157272-98165858;chr1;98157272;98165858;hsa_circ_0013267;hsa_circDPYD_017;2;NA;NA;NA;NA;NA;NA;NA
chr15:40231705-40247969;chr15;40231705;40247969;HSA_CIRCpedia_14069;hsa_circEIF2AK4_004;1;NA;NA;NA;NA;NA;NA;NA
chr1:27432375-27434356;chr1;27432375;27434356;HSA_CIRCpedia_31147;hsa_circSLC9A1_004;2;NA;NA;NA;NA;NA;NA;NA
chr7:66514935-66548526;chr7;66514935;66548526;HSA_CIRCpedia_145091;hsa_circTYW1_012;1;NA;NA;NA;NA;NA;NA;NA
chr1:213037066-213061936;chr1;213037066;213061936;HSA_CIRCpedia_29910;hsa_circFLVCR1_006;2;NA;NA;NA;NA;NA;NA;NA
chr2:55526974-55529208;chr2;55526974;55529208;HSA_CIRCpedia_91992;NA;2;NA;NA;NA;NA;NA;NA;NA
chr11:981197-985582;chr11;981197;985582;hsa_circ_0020744;hsa_circAP2A2_006;1;NA;NA;NA;NA;NA;NA;NA
chr2:170761623-170762674;chr2;170761623;170762674;HSA_CIRCpedia_93017;hsa_circUBR3_027;2;NA;NA;NA;NA;NA;NA;NA
chr11:992502-1000598;chr11;992502;1000598;HSA_CIRCpedia_6205;NA;1;1;NA;NA;NA;NA;NA;NA
chr1:39775241-39785419;chr1;39775241;39785419;HSA_CIRCpedia_31729;NA;1;NA;NA;NA;NA;NA;NA;NA
chr8:42805530-42852780;chr8;42805530;42852780;HSA_CIRCpedia_61161;hsa_circHOOK3_041;1;NA;NA;NA;NA;NA;NA;NA
chr1:35824525-35847359;chr1;35824525;35847359;HSA_CIRCpedia_31528;hsa_circZMYM4_010;1;NA;NA;NA;NA;NA;NA;NA
chr2:96858106-96859090;chr2;96858106;96859090;HSA_CIRCpedia_92372;NA;2;NA;NA;NA;NA;NA;NA;NA
chr20:3321150-3340240;chr20;3321150;3340240;HSA_CIRCpedia_33845;hsa_circC20orf194_010;3;NA;NA;NA;NA;NA;NA;NA
chr8:48352884-48353104;chr8;48352884;48353104;HSA_CIRCpedia_61205;NA;1;NA;NA;NA;NA;NA;NA;NA
chr5:96248340-96249161;chr5;96248340;96249161;HSA_CIRCpedia_101424;NA;3;2;NA;NA;NA;NA;NA;NA
chr15:63951934-63956793;chr15;63951934;63956793;HSA_CIRCpedia_120716;hsa_circHERC1_191;1;NA;NA;NA;NA;NA;NA;NA
chr15:74911537-74912566;chr15;74911537;74912566;HSA_CIRCpedia_15643;hsa_circCLK3_002;3;NA;NA;NA;NA;NA;NA;NA
chr14:35272059-35280242;chr14;35272059;35280242;HSA_CIRCpedia_156609;NA;3;NA;NA;NA;NA;NA;NA;NA
chr9:127683407-127701145;chr9;127683407;127701145;HSA_CIRCpedia_112047;hsa_circGOLGA1_005;2;NA;NA;NA;NA;NA;NA;NA
chr6:121526220-121577431;chr6;121526220;121577431;HSA_CIRCpedia_53439;hsa_circC6orf170_017;1;1;NA;NA;NA;NA;NA;NA
chr14:76184203-76201632;chr14;76184203;76201632;HSA_CIRCpedia_13137;hsa_circTTLL5_018;1;NA;NA;NA;NA;NA;NA;NA
chr6:170697374-170713689;chr6;170697374;170713689;HSA_CIRCpedia_54441;hsa_circFAM120B_016;1;NA;NA;NA;NA;NA;NA;NA
chr3:136183483-136183830;chr3;136183483;136183830;hsa-circ-STAG1-overlap.3;NA;1;NA;NA;NA;NA;NA;NA;NA
chr9:135977324-135977958;chr9;135977324;135977958;HSA_CIRCpedia_166200;hsa_circRALGDS_006;2;NA;NA;NA;NA;NA;NA;NA
chr7:38247047-38259261;chr7;38247047;38259261;HSA_CIRCpedia_58004;hsa_circSTARD3NL_002;1;1;NA;NA;NA;NA;NA;1
chr18:2762102-2784619;chr18;2762102;2784619;HSA_CIRCpedia_364378;hsa_circSMCHD1_065;1;NA;NA;NA;NA;NA;NA;NA
chr22:22123483-22127271;chr22;22123483;22127271;HSA_CIRCpedia_90240;NA;1;NA;NA;NA;NA;NA;NA;NA
chr4:185580493-185593614;chr4;185580493;185593614;HSA_CIRCpedia_48078;hsa_circCCDC111_011;3;NA;NA;NA;NA;NA;NA;NA
chr12:50050186-50050973;chr12;50050186;50050973;HSA_CIRCpedia_8627;hsa_circFMNL3_009;1;NA;NA;NA;NA;NA;NA;NA
chr1:226044352-226047049;chr1;226044352;226047049;HSA_CIRCpedia_30311;NA;3;NA;NA;NA;NA;NA;NA;NA
chr19:19014076-19021880;chr19;19014076;19021880;HSA_CIRCpedia_86885;NA;1;NA;NA;NA;NA;NA;NA;NA
chr1:178802558-178855255;chr1;178802558;178855255;HSA_CIRCpedia_140130;NA;1;NA;NA;NA;NA;NA;NA;NA
chr6:144863930-144872218;chr6;144863930;144872218;HSA_CIRCpedia_359898;NA;1;NA;NA;NA;NA;NA;NA;NA
chr10:123596232-123629553;chr10;123596232;123629553;HSA_CIRCpedia_129394;hsa_circATE1_033;2;NA;NA;NA;NA;NA;NA;NA
chr3:184603897-184637986;chr3;184603897;184637986;HSA_CIRCpedia_44753;hsa_circVPS8_034;2;1;NA;NA;NA;NA;NA;NA
chr4:128895091-128905578;chr4;128895091;128905578;hsa-circ-C4orf29-overlap.2;NA;2;1;NA;NA;NA;NA;NA;NA
chr9:114860749-114875148;chr9;114860749;114875148;HSA_CIRCpedia_62313;hsa_circSUSD1_028;1;1;NA;NA;NA;NA;NA;NA
chr4:9982215-9998565;chr4;9982215;9998565;HSA_CIRCpedia_49673;hsa_circSLC2A9_009;1;2;NA;NA;NA;NA;NA;NA
chr9:134312006-134319715;chr9;134312006;134319715;HSA_CIRCpedia_112417;hsa_circPRRC2B_020;1;NA;NA;NA;NA;NA;NA;NA
chr5:156712348-156714117;chr5;156712348;156714117;HSA_CIRCpedia_179485;NA;2;NA;NA;NA;NA;NA;NA;NA
chr19:49376481-49378155;chr19;49376481;49378155;hsa-circ-PPP1R15A.3;NA;2;NA;NA;NA;NA;NA;NA;NA
chr14:50195643-50206900;chr14;50195643;50206900;HSA_CIRCpedia_152524;NA;2;NA;NA;NA;NA;NA;NA;NA
chr9:126438998-126641300;chr9;126438998;126641300;HSA_CIRCpedia_62706;hsa_circDENND1A_009;2;1;NA;NA;NA;NA;NA;NA
chr3:142496473-142503882;chr3;142496473;142503882;HSA_CIRCpedia_43937;hsa_circTRPC1_024;1;NA;NA;NA;NA;NA;NA;NA
chr3:47727538-47742892;chr3;47727538;47742892;HSA_CIRCpedia_45942;hsa_circSMARCC1_069;1;NA;NA;NA;NA;NA;NA;NA
chr9:127915811-127923185;chr9;127915811;127923185;HSA_CIRCpedia_62777;hsa_circPPP6C_003;1;NA;NA;NA;NA;NA;NA;NA
chrX:37663129-37665786;chrX;37663129;37665786;HSA_CIRCpedia_373173;NA;1;1;NA;NA;NA;NA;NA;NA
chr15:76161291-76175765;chr15;76161291;76175765;HSA_CIRCpedia_15722;hsa_circUBE2Q2_013;5;NA;NA;NA;NA;NA;NA;NA
chrX:48832429-48841815;chrX;48832429;48841815;HSA_CIRCpedia_94527;hsa_circGRIPAP1_009;2;NA;NA;NA;NA;NA;NA;NA
chr1:1770628-1811341;chr1;1770628;1811341;hsa-circ-GNB1-overlap.14;hsa_circGNB1_003;2;NA;NA;NA;NA;NA;NA;NA
chr10:35359024-35360267;chr10;35359024;35360267;hsa-circ-CUL2-overlap.21;hsa_circCUL2_002;1;1;NA;NA;NA;NA;NA;NA
chr10:67345422-67375519;chr10;67345422;67375519;HSA_CIRCpedia_1962;hsa_circRP11-222A11.1_001;2;NA;NA;NA;NA;NA;NA;NA
chr9:33960823-33963789;chr9;33960823;33963789;HSA_CIRCpedia_63938;hsa_circUBAP2_054;2;NA;NA;NA;NA;NA;NA;NA
chr2:170761623-170789518;chr2;170761623;170789518;HSA_CIRCpedia_352966;NA;3;NA;NA;NA;NA;NA;NA;NA
chr15:51829684-51839605;chr15;51829684;51839605;HSA_CIRCpedia_120652;NA;1;NA;NA;NA;NA;NA;NA;NA
chr5:78910294-78941015;chr5;78910294;78941015;hsa-circ-PAPD4-overlap.55;NA;1;NA;NA;NA;NA;NA;NA;NA
chr17:38547757-38548989;chr17;38547757;38548989;HSA_CIRCpedia_20595;hsa_circTOP2A_024;3;NA;NA;NA;NA;NA;NA;NA
chr6:111708967-111793343;chr6;111708967;111793343;HSA_CIRCpedia_53341;hsa_circREV3L_013;3;NA;NA;NA;NA;NA;NA;1
chr5:137661503-137665336;chr5;137661503;137665336;HSA_CIRCpedia_50383;NA;1;NA;NA;NA;NA;NA;NA;NA
chr8:100523331-100523740;chr8;100523331;100523740;HSA_CIRCpedia_154680;hsa_circVPS13B_068;3;NA;NA;NA;NA;NA;NA;NA
chr6:20649523-20781496;chr6;20649523;20781496;HSA_CIRCpedia_99174;hsa_circCDKAL1_006;7;NA;NA;NA;NA;NA;NA;NA
chr2:197865142-197870634;chr2;197865142;197870634;HSA_CIRCpedia_39026;NA;1;NA;NA;NA;NA;NA;NA;NA
chr9:27009017-27029102;chr9;27009017;27029102;HSA_CIRCpedia_68102;hsa_circIFT74_009;2;NA;NA;NA;NA;NA;NA;NA
chr13:24860351-24865022;chr13;24860351;24865022;HSA_CIRCpedia_69857;hsa_circSPATA13_006;1;NA;NA;NA;NA;NA;NA;NA
chr7:27570810-27689252;chr7;27570810;27689252;HSA_CIRCpedia_97388;NA;2;NA;NA;NA;NA;NA;NA;NA
chr6:43639576-43643354;chr6;43639576;43643354;hsa-circ-MRPS18A-overlap.2;hsa_circMRPS18A_004;1;NA;NA;NA;NA;NA;NA;1
chr3:149420585-149421115;chr3;149420585;149421115;hsa-circ-WWTR1-overlap.2;NA;2;NA;NA;NA;NA;NA;NA;NA
chr17:76696412-76705814;chr17;76696412;76705814;HSA_CIRCpedia_22582;hsa_circCYTH1_004;1;NA;NA;NA;NA;NA;NA;2
chr4:103225473-103236899;chr4;103225473;103236899;hsa-circ-SLC39A8-overlap.27;NA;1;NA;NA;NA;NA;NA;NA;NA
chr5:151166163-151176989;chr5;151166163;151176989;hsa-circ-G3BP1.51;NA;1;NA;NA;NA;NA;NA;NA;NA
chr18:59888269-59895831;chr18;59888269;59895831;HSA_CIRCpedia_132274;NA;1;NA;NA;NA;NA;NA;NA;NA
chr3:186509513-186512566;chr3;186509513;186512566;HSA_CIRCpedia_44855;hsa_circRFC4_008;1;NA;NA;NA;NA;NA;NA;NA
chrX:133547517-133551332;chrX;133547517;133551332;HSA_CIRCpedia_56620;hsa_circPHF6_004;1;NA;NA;NA;NA;NA;NA;NA
chr21:30412929-30422499;chr21;30412929;30422499;HSA_CIRCpedia_145621;NA;1;NA;NA;NA;NA;NA;NA;NA
chr13:31204971-31216894;chr13;31204971;31216894;HSA_CIRCpedia_151506;hsa_circUSPL1_008;1;NA;NA;NA;NA;NA;NA;NA
chr2:174081842-174097187;chr2;174081842;174097187;HSA_CIRCpedia_93073;NA;1;NA;NA;NA;NA;NA;NA;NA
chr10:27349273-27375538;chr10;27349273;27375538;HSA_CIRCpedia_155736;NA;1;NA;NA;NA;NA;NA;NA;NA
chr4:15713429-15724557;chr4;15713429;15724557;hsa_circ_0069231;hsa_circBST1_002;1;NA;NA;NA;NA;NA;NA;NA
chr11:59557991-59562955;chr11;59557991;59562955;HSA_CIRCpedia_74058;NA;2;1;NA;NA;NA;NA;NA;NA
chr14:50892624-50901783;chr14;50892624;50901783;HSA_CIRCpedia_131286;hsa_circMAP4K5_039;2;NA;NA;NA;NA;NA;NA;NA
chr17:64509453-64510841;chr17;64509453;64510841;hsa-circ-intronic.24347;NA;1;NA;NA;NA;NA;NA;NA;NA
chr2:26496518-26508439;chr2;26496518;26508439;HSA_CIRCpedia_91509;NA;1;NA;NA;NA;NA;NA;NA;NA
chr8:124146353-124157095;chr8;124146353;124157095;HSA_CIRCpedia_59962;hsa_circWDR67_033;1;NA;NA;NA;NA;NA;NA;NA
chr10:27408222-27415715;chr10;27408222;27415715;HSA_CIRCpedia_1344;hsa_circYME1L1_022;1;NA;NA;NA;NA;NA;NA;NA
chr17:37263659-37265644;chr17;37263659;37265644;HSA_CIRCpedia_156042;hsa_circPLXDC1_001;1;NA;NA;NA;NA;NA;NA;NA
chr15:86182604-86213061;chr15;86182604;86213061;HSA_CIRCpedia_15982;hsa_circAKAP13_016;3;NA;NA;NA;NA;NA;NA;NA
chr16:69189773-69194365;chr16;69189773;69194365;HSA_CIRCpedia_81924;NA;1;NA;NA;NA;NA;NA;NA;NA
chr9:5713895-5747505;chr9;5713895;5747505;HSA_CIRCpedia_111041;NA;1;NA;NA;NA;NA;NA;NA;NA
chr8:27324745-27327498;chr8;27324745;27327498;hsa-circ-CHRNA2.1;NA;2;NA;NA;NA;NA;NA;NA;NA
chr1:114380211-114391248;chr1;114380211;114391248;HSA_CIRCpedia_371665;NA;1;NA;NA;NA;NA;NA;NA;NA
chr3:176797614-176816329;chr3;176797614;176816329;HSA_CIRCpedia_44508;hsa_circTBL1XR1_011;1;NA;NA;NA;NA;NA;NA;NA
chr3:11372813-11383753;chr3;11372813;11383753;HSA_CIRCpedia_42998;hsa_circATG7_029;2;NA;NA;NA;NA;NA;NA;1
chr4:42020127-42025401;chr4;42020127;42025401;HSA_CIRCpedia_48665;hsa_circSLC30A9_011;1;NA;NA;NA;NA;NA;NA;NA
chr6:151355628-151358253;chr6;151355628;151358253;HSA_CIRCpedia_136161;NA;3;NA;NA;NA;NA;NA;NA;NA
chr12:109919441-109921786;chr12;109919441;109921786;HSA_CIRCpedia_6542;hsa_circUBE3B_001;1;2;NA;NA;NA;NA;NA;NA
chr16:66847466-66860683;chr16;66847466;66860683;HSA_CIRCpedia_130335;hsa_circNAE1_001;1;NA;NA;NA;NA;NA;NA;NA
chr12:26208168-26220646;chr12;26208168;26220646;HSA_CIRCpedia_8030;hsa_circRASSF8_004;1;NA;NA;NA;NA;NA;NA;NA
chr6:139228631-139234087;chr6;139228631;139234087;HSA_CIRCpedia_100261;hsa_circREPS1_029;3;NA;NA;NA;NA;NA;NA;NA
chr2:160289267-160310312;chr2;160289267;160310312;HSA_CIRCpedia_357560;NA;1;NA;NA;NA;NA;NA;NA;NA
chr12:1025509-1025986;chr12;1025509;1025986;HSA_CIRCpedia_6318;hsa_circRAD52_011;2;NA;NA;NA;NA;NA;NA;1
chr17:17769609-17772787;chr17;17769609;17772787;HSA_CIRCpedia_19502;hsa_circTOM1L2_009;2;NA;NA;NA;NA;NA;NA;NA
chr12:131280539-131286033;chr12;131280539;131286033;HSA_CIRCpedia_7659;hsa_circSTX2_015;1;NA;NA;NA;NA;NA;NA;NA
chr6:157469757-157470085;chr6;157469757;157470085;hsa_circ_0078419;hsa_circARID1B_052;1;NA;NA;NA;NA;NA;NA;NA
chr2:197946368-197953498;chr2;197946368;197953498;HSA_CIRCpedia_374303;NA;1;NA;NA;NA;NA;NA;NA;NA
chr2:178980988-178989017;chr2;178980988;178989017;HSA_CIRCpedia_93109;hsa_circRBM45_002;1;NA;NA;NA;NA;NA;NA;NA
chr4:154514950-154519884;chr4;154514950;154519884;HSA_CIRCpedia_47799;hsa_circKIAA0922_015;1;NA;NA;NA;NA;NA;NA;NA
chr12:31551108-31562318;chr12;31551108;31562318;HSA_CIRCpedia_8268;hsa_circDENND5B_065;3;NA;NA;NA;NA;NA;NA;NA
chr12:49333437-49334971;chr12;49333437;49334971;HSA_CIRCpedia_8578;hsa_circARF3_003;4;NA;NA;NA;NA;NA;NA;2
chr2:19071405-19104231;chr2;19071405;19104231;hsa-circ-intronic.7761;NA;1;NA;NA;NA;NA;NA;NA;NA
chr4:110448477-110459752;chr4;110448477;110459752;HSA_CIRCpedia_47146;hsa_circSEC24B_048;1;NA;NA;NA;NA;NA;NA;NA
chr17:4077203-4083172;chr17;4077203;4083172;HSA_CIRCpedia_20799;hsa_circANKFY1_035;4;NA;NA;NA;NA;NA;NA;NA
chr11:68358127-68370960;chr11;68358127;68370960;HSA_CIRCpedia_143023;hsa_circPPP6R3_062;1;NA;NA;NA;NA;NA;NA;NA
chr4:42580276-42588493;chr4;42580276;42588493;HSA_CIRCpedia_123891;hsa_circATP8A1_021;1;NA;NA;NA;NA;NA;NA;NA
chr15:65780027-65790370;chr15;65780027;65790370;HSA_CIRCpedia_15264;hsa_circDPP8_029;4;NA;NA;NA;NA;NA;NA;NA
chr10:3200231-3202522;chr10;3200231;3202522;HSA_CIRCpedia_1468;hsa_circPITRM1_012;2;NA;NA;NA;NA;NA;NA;2
chr7:138209985-138223548;chr7;138209985;138223548;HSA_CIRCpedia_56901;hsa_circTRIM24_017;1;NA;NA;NA;NA;NA;NA;2
chrX:76854879-76876000;chrX;76854879;76876000;HSA_CIRCpedia_361026;NA;1;NA;NA;NA;NA;NA;NA;NA
chr12:111923068-111926584;chr12;111923068;111926584;HSA_CIRCpedia_6674;hsa_circATXN2_043;1;NA;NA;NA;NA;NA;NA;NA
chr3:113784083-113798904;chr3;113784083;113798904;HSA_CIRCpedia_43005;hsa_circQTRTD1_002;1;NA;NA;NA;NA;NA;NA;NA
chr15:76235912-76261565;chr15;76235912;76261565;HSA_CIRCpedia_167780;NA;1;NA;NA;NA;NA;NA;NA;NA
chr11:34093272-34107960;chr11;34093272;34107960;HSA_CIRCpedia_167025;NA;1;NA;NA;NA;NA;NA;NA;NA
chr2:32631566-32641231;chr2;32631566;32641231;HSA_CIRCpedia_40812;hsa_circBIRC6_104;1;2;NA;NA;NA;NA;NA;NA
chr20:19560643-19566188;chr20;19560643;19566188;HSA_CIRCpedia_33458;hsa_circSLC24A3_002;3;NA;NA;NA;NA;NA;NA;NA
chr15:28986255-28993021;chr15;28986255;28993021;HSA_CIRCpedia_357415;NA;1;NA;NA;NA;NA;NA;NA;NA
chr6:150063525-150064851;chr6;150063525;150064851;HSA_CIRCpedia_53892;hsa_circNUP43_005;1;NA;NA;NA;NA;NA;NA;NA
chr14:50266192-50270012;chr14;50266192;50270012;HSA_CIRCpedia_350874;NA;1;NA;NA;NA;NA;NA;NA;NA
chr3:57817109-57835543;chr3;57817109;57835543;HSA_CIRCpedia_46510;hsa_circSLMAP_003;2;NA;NA;NA;NA;NA;NA;NA
chr3:43616300-43621964;chr3;43616300;43621964;HSA_CIRCpedia_45686;hsa_circANO10_008;1;NA;NA;NA;NA;NA;NA;NA
chr15:41961025-42028896;chr15;41961025;42028896;HSA_CIRCpedia_350249;hsa_circMGA_007;1;NA;NA;NA;NA;NA;NA;NA
chr7:120655718-120911484;chr7;120655718;120911484;HSA_CIRCpedia_372606;NA;1;NA;NA;NA;NA;NA;NA;NA
chr15:85180577-85181708;chr15;85180577;85181708;HSA_CIRCpedia_15929;hsa_circSCAND2_001;1;NA;NA;NA;NA;NA;NA;NA
chr1:93677657-93698150;chr1;93677657;93698150;HSA_CIRCpedia_69145;hsa_circCCDC18_016;6;NA;NA;NA;NA;NA;NA;NA
chr12:95681439-95690034;chr12;95681439;95690034;HSA_CIRCpedia_9856;hsa_circVEZT_030;2;NA;NA;NA;NA;NA;NA;NA
chr15:73064123-73072663;chr15;73064123;73072663;hsa-circ-ADPGK-overlap.7;hsa_circADPGK_001;1;NA;NA;NA;NA;NA;NA;NA
chr14:91791122-91792400;chr14;91791122;91792400;HSA_CIRCpedia_144620;NA;1;5;NA;NA;NA;NA;NA;NA
chr16:69810091-69876023;chr16;69810091;69876023;HSA_CIRCpedia_81954;NA;1;NA;NA;NA;NA;NA;NA;NA
chr2:88333652-88336570;chr2;88333652;88336570;HSA_CIRCpedia_42565;hsa_circKRCC1_001;2;2;NA;NA;NA;NA;NA;NA
chr1:7895821-7897209;chr1;7895821;7897209;HSA_CIRCpedia_32976;hsa_circPER3_005;2;NA;NA;NA;NA;NA;NA;NA
chr1:93677657-93692006;chr1;93677657;93692006;HSA_CIRCpedia_125068;hsa_circCCDC18_015;1;NA;NA;NA;NA;NA;NA;NA
chr4:39871013-39878773;chr4;39871013;39878773;HSA_CIRCpedia_137262;hsa_circPDS5A_078;1;NA;NA;NA;NA;NA;NA;1
chr7:2404006-2406680;chr7;2404006;2406680;HSA_CIRCpedia_57693;NA;1;NA;NA;NA;NA;NA;NA;NA
chr1:20097034-20113610;chr1;20097034;20113610;HSA_CIRCpedia_107183;NA;3;NA;NA;NA;NA;NA;NA;NA
chr3:17413566-17470011;chr3;17413566;17470011;HSA_CIRCpedia_124302;hsa_circTBC1D5_019;2;3;NA;NA;NA;NA;NA;NA
chr7:102665509-102687467;chr7;102665509;102687467;HSA_CIRCpedia_115678;hsa_circFBXL13_004;2;NA;NA;NA;NA;NA;NA;NA
chr4:78079685-78082900;chr4;78079685;78082900;HSA_CIRCpedia_114789;hsa_circCCNG2_001;1;NA;NA;NA;NA;NA;NA;NA
chr4:864498-877874;chr4;864498;877874;HSA_CIRCpedia_49443;hsa_circGAK_014;1;NA;NA;NA;NA;NA;NA;NA
chr13:111329320-111353902;chr13;111329320;111353902;HSA_CIRCpedia_10074;NA;2;NA;NA;NA;NA;NA;NA;NA
chr10:33015661-33018385;chr10;33015661;33018385;hsa-circ-CCDC7.111;hsa_circC10orf68_009;2;NA;NA;NA;NA;NA;NA;NA
